Module,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_maxSpeed,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_minSpeed,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_startTime,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_stopTime,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalDistance,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalTime
RSUExampleScenario.node[463].veinsmobility,16.2684,6.9,27121,27183,172.957,866.615,61.5
RSUExampleScenario.node[436].veinsmobility,15.5752,3.32408,27115.5,27184,208.609,882.205,68
RSUExampleScenario.node[346].veinsmobility,16.25,0,27094.5,27184.5,223.313,646.167,89.5
RSUExampleScenario.node[195].veinsmobility,15.65,0,27053,27184.5,261.339,646.551,131
RSUExampleScenario.node[541].veinsmobility,16.75,5.5,27146.5,27185,120.737,498.621,38
RSUExampleScenario.node[282].veinsmobility,15.7487,0,27077,27185,221.758,488.289,107.5
RSUExampleScenario.node[439].veinsmobility,15.2258,4.65621,27116,27186.5,200.996,893.12,70
RSUExampleScenario.node[241].veinsmobility,16.25,0,27065,27187.5,231.849,643.457,122
RSUExampleScenario.node[299].veinsmobility,15.8627,0,27080,27187.5,222.76,486.91,107
RSUExampleScenario.node[198].veinsmobility,18.3928,0,27053.5,27187.5,354.256,1299.3,133.5
RSUExampleScenario.node[106].veinsmobility,22.2272,0,27030,27188.5,345.325,686.448,158
RSUExampleScenario.node[431].veinsmobility,19.25,4.22997,27115,27189,266.388,970.048,73.5
RSUExampleScenario.node[467].veinsmobility,15.7,5.44495,27121.5,27189,191.574,868.708,67
RSUExampleScenario.node[252].veinsmobility,16.1081,0,27068.5,27189.5,229.385,654.718,120.5
RSUExampleScenario.node[470].veinsmobility,17.5,0.905023,27123,27189.5,221.717,889.433,66
RSUExampleScenario.node[313].veinsmobility,15.5,0,27085,27190.5,212.27,490.674,105
RSUExampleScenario.node[478].veinsmobility,16.25,6.9,27126.5,27190.5,182.505,858.882,63.5
RSUExampleScenario.node[262].veinsmobility,18.9213,0,27072,27191,278.425,688.048,118.5
RSUExampleScenario.node[258].veinsmobility,19.4,0,27070,27191,381.834,1299.33,120.5
RSUExampleScenario.node[325].veinsmobility,15.4383,0,27089.5,27192,219.858,646.856,102
RSUExampleScenario.node[328].veinsmobility,19.5972,0,27090,27192.5,342.195,1305.65,102
RSUExampleScenario.node[347].veinsmobility,15.8202,0,27094.5,27193,206.192,484.614,98
RSUExampleScenario.node[245].veinsmobility,15.0532,0,27067,27193.5,257.304,657.985,126
RSUExampleScenario.node[627].veinsmobility,19.1372,6.75,27169,27193.5,93.1018,340.261,24
RSUExampleScenario.node[385].veinsmobility,15.65,0,27103.5,27194,196.876,644.791,90
RSUExampleScenario.node[322].veinsmobility,18.1778,0,27088,27194,234.44,678.535,105.5
RSUExampleScenario.node[499].veinsmobility,17.5,2.8695,27134.5,27194,219.961,867.66,59
