Module,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_maxSpeed,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_minSpeed,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_startTime,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_stopTime,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalDistance,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalTime
ProvidenciaExampleScenario.node[140].veinsmobility,16.3382,0,27022,27269,511.055,1679.33,246.5
ProvidenciaExampleScenario.node[141].veinsmobility,21,0,27022.5,27105,211.438,667.922,82
ProvidenciaExampleScenario.node[142].veinsmobility,16.25,0,27022.5,27177.5,365.529,1125.69,154.5
ProvidenciaExampleScenario.node[143].veinsmobility,21.0405,0,27022.5,27155.5,337.282,1321.4,132.5
ProvidenciaExampleScenario.node[144].veinsmobility,22.3433,0,27022.5,27234,450.553,1152.23,211
ProvidenciaExampleScenario.node[145].veinsmobility,17.1,0,27022.5,27136,281.198,686.703,113
ProvidenciaExampleScenario.node[146].veinsmobility,15.85,0,27023,27277,546.636,1870.04,253.5
ProvidenciaExampleScenario.node[147].veinsmobility,20.5985,0,27023,27118.5,253.227,1061.18,95
ProvidenciaExampleScenario.node[148].veinsmobility,16.25,-2.37656,27023,27378,698.87,1520.72,354.5
ProvidenciaExampleScenario.node[149].veinsmobility,18.6553,5.61746,27023,27072,178.859,782.075,48.5
ProvidenciaExampleScenario.node[150].veinsmobility,21.25,0,27023,27275,567.738,1597.49,251.5
ProvidenciaExampleScenario.node[151].veinsmobility,15.65,0,27023.5,27080.5,146.671,493.738,56.5
ProvidenciaExampleScenario.node[152].veinsmobility,16.3036,0,27023.5,27101,228.848,753.064,77
ProvidenciaExampleScenario.node[153].veinsmobility,21,0,27024,27129.5,315.384,997.008,105
ProvidenciaExampleScenario.node[154].veinsmobility,21.5558,0,27024,27118,274.262,1083.05,93.5
ProvidenciaExampleScenario.node[155].veinsmobility,16.3624,0,27024,27183.5,393.863,1133.43,159
ProvidenciaExampleScenario.node[156].veinsmobility,20.8181,0,27024,27156.5,343.151,1306.3,132
ProvidenciaExampleScenario.node[157].veinsmobility,18.5517,6.9,27024,27070,175.114,750.344,45.5
ProvidenciaExampleScenario.node[158].veinsmobility,16.1482,0,27024,27147,301.581,1112.55,122.5
ProvidenciaExampleScenario.node[159].veinsmobility,21.25,0,27024,27261,553.979,1410.67,236.5
ProvidenciaExampleScenario.node[160].veinsmobility,15.65,0,27024.5,27167.5,280.737,903.079,142.5
ProvidenciaExampleScenario.node[161].veinsmobility,18.0989,0,27024.5,27138,266.955,992.914,113
ProvidenciaExampleScenario.node[162].veinsmobility,22.0017,0,27024.5,27276.5,603.878,1625.36,251.5
ProvidenciaExampleScenario.node[163].veinsmobility,20.1594,0,27025,27206,471.386,1547.94,180.5
