Module,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_maxSpeed,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_minSpeed,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_startTime,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_stopTime,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_totalDistance,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_totalTime
RSUExampleScenario.node[145].veinsmobility,17.1,0,27022.5,27136,281.198,686.703,113
RSUExampleScenario.node[601].veinsmobility,20.1566,5.5,27089.5,27136,202.019,666.643,46
RSUExampleScenario.node[77].veinsmobility,21.9,0,27014,27136.5,326.222,903.44,122
RSUExampleScenario.node[299].veinsmobility,16.25,0,27044.5,27136.5,206.502,588.684,91.5
RSUExampleScenario.node[122].veinsmobility,18.5563,0,27020,27136.5,301.092,1127.56,116
RSUExampleScenario.node[346].veinsmobility,16.25,0,27051.5,27137,157.12,276.112,85
RSUExampleScenario.node[161].veinsmobility,18.0989,0,27024.5,27138,266.955,992.914,113
RSUExampleScenario.node[228].veinsmobility,18.9171,0,27034.5,27138,264.964,956.939,103
RSUExampleScenario.node[481].veinsmobility,16.25,0,27071,27138,157.72,458.052,66.5
RSUExampleScenario.node[2].veinsmobility,18.0611,0,27001,27138,384.828,1358.89,136.5
RSUExampleScenario.node[43].veinsmobility,15,0,27007.5,27138.5,329.626,1333.76,130.5
RSUExampleScenario.node[381].veinsmobility,16.25,0,27056.5,27139,150.465,276.989,82
RSUExampleScenario.node[485].veinsmobility,16.9,0,27072,27139.5,142.204,281.03,67
RSUExampleScenario.node[109].veinsmobility,21.6265,0,27017.5,27139.5,328.12,917.231,121.5
RSUExampleScenario.node[38].veinsmobility,15.65,0,27007,27139.5,252.653,622.029,132
RSUExampleScenario.node[27].veinsmobility,15.65,0,27005.5,27139.5,251.861,620.585,133.5
RSUExampleScenario.node[106].veinsmobility,16.2938,0,27017.5,27140.5,303.292,854.203,122.5
RSUExampleScenario.node[102].veinsmobility,15.6337,0,27017,27141,253.167,620.995,123.5
RSUExampleScenario.node[436].veinsmobility,16.25,0,27065,27141.5,149.913,284.113,76
RSUExampleScenario.node[287].veinsmobility,18.6779,0,27042.5,27141.5,255.968,973.554,98.5
RSUExampleScenario.node[286].veinsmobility,15.7353,0,27042.5,27141.5,217.762,622.65,98.5
RSUExampleScenario.node[385].veinsmobility,16.25,0,27057,27141.5,204.784,661.376,84
RSUExampleScenario.node[175].veinsmobility,16.8179,0,27026.5,27141.5,281.529,1056.69,114.5
RSUExampleScenario.node[116].veinsmobility,20.2981,0,27018.5,27142,333.075,908.186,123
RSUExampleScenario.node[92].veinsmobility,16.4742,-0.503887,27016,27142.5,256.269,666.896,126
RSUExampleScenario.node[55].veinsmobility,15.65,0,27010,27142.5,322.186,1037.34,132
RSUExampleScenario.node[269].veinsmobility,18.15,0,27039.5,27143,261.366,980.803,103
RSUExampleScenario.node[337].veinsmobility,16,0,27049.5,27143,257.889,879.787,93
RSUExampleScenario.node[316].veinsmobility,16.75,0,27047,27143,299.861,884.679,95.5
RSUExampleScenario.node[11].veinsmobility,18.5,0,27002,27143,352.673,1063.84,140.5
RSUExampleScenario.node[599].veinsmobility,16.25,0,27089.5,27143.5,125.468,283.347,53.5
RSUExampleScenario.node[171].veinsmobility,21.9227,0,27025.5,27143.5,317.842,921.918,117.5
RSUExampleScenario.node[564].veinsmobility,16.25,1.26562,27084,27143.5,165.878,618.633,59
RSUExampleScenario.node[511].veinsmobility,15.15,0,27075.5,27144,169.916,624.339,68
RSUExampleScenario.node[605].veinsmobility,16.9,3.56562,27090,27144.5,170.409,660.614,54
RSUExampleScenario.node[60].veinsmobility,15,0,27011.5,27145,299.732,1077.23,133
RSUExampleScenario.node[305].veinsmobility,17.1485,0,27045.5,27145.5,241.917,974.521,99.5
RSUExampleScenario.node[236].veinsmobility,18.75,0,27035.5,27145.5,291.834,911.209,109.5
RSUExampleScenario.node[646].veinsmobility,16.25,5.5849,27094.5,27145.5,158.919,623.076,50.5
RSUExampleScenario.node[234].veinsmobility,16.25,0,27035.5,27145.5,294.414,1018.19,109.5
RSUExampleScenario.node[666].veinsmobility,16.25,5.03468,27096.5,27146.5,154.45,622.931,49.5
RSUExampleScenario.node[254].veinsmobility,21.1117,0,27038,27146.5,295,873.284,108
RSUExampleScenario.node[653].veinsmobility,15,0,27095.5,27147,114.028,265.439,51
RSUExampleScenario.node[404].veinsmobility,18.4964,0,27059.5,27147,258.524,906.953,87
RSUExampleScenario.node[671].veinsmobility,16.4568,4.38383,27097.5,27147,163.932,606.2,49
RSUExampleScenario.node[158].veinsmobility,16.1482,0,27024,27147,301.581,1112.55,122.5
RSUExampleScenario.node[370].veinsmobility,16.5203,2.98094,27055,27147,264.496,1062.9,91.5
RSUExampleScenario.node[649].veinsmobility,13.9168,0,27095,27147.5,118.477,288.747,52
RSUExampleScenario.node[120].veinsmobility,22.6821,0,27019.5,27147.5,456.607,1230,127.5
RSUExampleScenario.node[203].veinsmobility,16.25,0,27031.5,27147.5,316.182,1107.91,115.5
RSUExampleScenario.node[659].veinsmobility,15.3958,5.83413,27096,27149,161.322,631.401,52.5
RSUExampleScenario.node[311].veinsmobility,16.5122,2.65723,27046,27149,303.395,1115,102.5
RSUExampleScenario.node[292].veinsmobility,16.7179,0,27043.5,27149,313.154,1084.1,105
RSUExampleScenario.node[399].veinsmobility,18.5801,0,27059,27149.5,272.061,909.317,90
RSUExampleScenario.node[221].veinsmobility,15.65,0,27033.5,27150,300.079,1063.32,116
RSUExampleScenario.node[672].veinsmobility,16.25,0,27098,27150.5,142.946,294.674,52
RSUExampleScenario.node[111].veinsmobility,22.25,0,27018,27151,357.271,1309.74,132.5
RSUExampleScenario.node[465].veinsmobility,18.9611,2.08508,27069,27151,245.654,908.593,81.5
RSUExampleScenario.node[405].veinsmobility,16.25,0,27060,27151.5,261.803,852.262,91
RSUExampleScenario.node[319].veinsmobility,16.25,0,27047.5,27152,238.996,786.203,104
RSUExampleScenario.node[49].veinsmobility,17.3119,0,27008.5,27152.5,340.964,996.103,143.5
RSUExampleScenario.node[118].veinsmobility,21.4959,0,27019,27153,359.559,1289.49,133.5
RSUExampleScenario.node[24].veinsmobility,20,0,27004.5,27153,441.895,1405.18,148
RSUExampleScenario.node[243].veinsmobility,19.75,0,27036.5,27153,277.031,766.312,116
RSUExampleScenario.node[213].veinsmobility,15,0,27032.5,27153,243.458,841.02,120
RSUExampleScenario.node[721].veinsmobility,16.25,4.64015,27105.5,27153.5,148.554,625.112,47.5
RSUExampleScenario.node[14].veinsmobility,15.65,0,27002.5,27154,302.195,921.324,151
RSUExampleScenario.node[251].veinsmobility,19.25,0,27038,27154,266.583,768.171,115.5
RSUExampleScenario.node[413].veinsmobility,16.25,0,27061,27154,266.617,871.859,92.5
RSUExampleScenario.node[461].veinsmobility,16.25,0,27068.5,27154,239.241,883.602,85
RSUExampleScenario.node[313].veinsmobility,18.5,0,27046.5,27154.5,247.417,768.471,107.5
RSUExampleScenario.node[72].veinsmobility,15.5279,0,27013,27155.5,289.584,914.207,142
RSUExampleScenario.node[143].veinsmobility,21.0405,0,27022.5,27155.5,337.282,1321.4,132.5
RSUExampleScenario.node[371].veinsmobility,19.25,0,27055,27155.5,243.316,745.01,100
RSUExampleScenario.node[387].veinsmobility,15.9074,0,27057,27155.5,284.273,907.947,98
RSUExampleScenario.node[478].veinsmobility,16.75,0,27071,27156,166.477,446.36,84.5
RSUExampleScenario.node[296].veinsmobility,18.7155,0,27044,27156,250.885,775.106,111.5
RSUExampleScenario.node[209].veinsmobility,14.4618,0,27032,27156,249.147,858.704,123.5
RSUExampleScenario.node[156].veinsmobility,20.8181,0,27024,27156.5,343.151,1306.3,132
RSUExampleScenario.node[257].veinsmobility,18.0399,0,27038.5,27156.5,258,774.677,117.5
RSUExampleScenario.node[283].veinsmobility,18.1288,0,27042,27156.5,244.935,767.385,114
RSUExampleScenario.node[483].veinsmobility,13.4,0,27071.5,27157.5,155.754,322.41,85.5
RSUExampleScenario.node[457].veinsmobility,16.25,1.68873,27068,27157.5,231.86,878.05,89
RSUExampleScenario.node[187].veinsmobility,15.1362,0,27028.5,27158,271.078,886.879,129
RSUExampleScenario.node[336].veinsmobility,19.0668,0,27049.5,27158,246.637,756.361,108
RSUExampleScenario.node[523].veinsmobility,19.3736,0,27077,27158,224.937,766.528,80.5
RSUExampleScenario.node[73].veinsmobility,21.4415,0,27013.5,27158.5,417.26,1411.26,144.5
RSUExampleScenario.node[333].veinsmobility,19.6568,0,27049,27158.5,264.486,772.463,109
RSUExampleScenario.node[42].veinsmobility,20.0659,0,27007.5,27159,442.187,1316.05,151
RSUExampleScenario.node[344].veinsmobility,18.327,0,27051,27159,245.66,764.437,107.5
RSUExampleScenario.node[473].veinsmobility,15.5831,0,27070.5,27159.5,239.016,892.763,88.5
RSUExampleScenario.node[79].veinsmobility,15,0,27014.5,27160,288.038,692.703,145
RSUExampleScenario.node[500].veinsmobility,13.2599,0,27074,27160,160.006,325.141,85.5
RSUExampleScenario.node[389].veinsmobility,16.25,0,27057.5,27160.5,233.318,804.48,102.5
RSUExampleScenario.node[433].veinsmobility,18,0,27064.5,27160.5,228.024,762.186,95.5
RSUExampleScenario.node[353].veinsmobility,18.9164,0,27052.5,27160.5,268.038,777.327,107.5
RSUExampleScenario.node[176].veinsmobility,15.798,0,27026.5,27161,265.972,688.87,134
RSUExampleScenario.node[379].veinsmobility,18,0,27056,27161.5,239.82,770.862,105
RSUExampleScenario.node[537].veinsmobility,14.9571,1.47669,27080,27161.5,207.143,843.795,81
RSUExampleScenario.node[635].veinsmobility,11.9,0,27093.5,27162,123.67,333.276,68
RSUExampleScenario.node[403].veinsmobility,19.5712,0,27059.5,27162.5,256.357,756.369,102.5
RSUExampleScenario.node[367].veinsmobility,18.3902,0,27054.5,27162.5,253.2,779.055,107.5
RSUExampleScenario.node[479].veinsmobility,18.0285,0,27071,27163,222.263,775.011,91.5
RSUExampleScenario.node[524].veinsmobility,15.475,0.243278,27077.5,27163,230.511,856.44,85
