module,max_speed,min_speed,start_time,stop_time,total_co2,total_dist,total_time,arrived,rcvd_warnings,sent_warnings,mean_speed,std_speed
node[1823],16.0555,0.0,27268.5,27346.5,193.50400000000002,660.586,77.5,True,3,0,8.564961256129031,4.149209982799902
node[1824],17.5,0.0,27269.0,27759.0,674.294,878.802,489.5,True,2,0,1.7902798479060265,3.570495267178417
node[1825],18.5944,0.0,27269.0,27607.5,570.951,1122.31,338.0,True,14,0,3.3091955526627217,4.837217798899227
node[1826],19.0125,0.0,27269.0,27399.5,282.937,780.003,130.0,True,5,0,6.0130738880769234,7.303773078520206
node[1827],21.9,0.0,27269.0,27730.0,765.1339999999999,1290.2,460.5,True,70,0,2.769194435070575,5.065951799208504
node[1828],21.0,0.0,27269.5,27479.5,452.001,1083.58,209.5,True,42,0,5.172949825775656,6.375643291606353
node[1829],18.2628,0.0,27270.0,27423.0,333.61300000000006,952.607,152.5,True,30,0,6.2892132495081965,6.567937325423627
node[182],18.8659,0.0,27028.0,27289.5,528.83,1688.0,261.0,True,17,0,6.394700229885057,7.329742116572346
node[1830],16.8533,0.0,27270.0,27516.0,418.043,959.431,245.5,True,34,0,3.902458717107943,4.457667308448214
node[1831],16.25,0.0,27270.5,27373.5,175.264,279.77299999999997,102.5,True,20,0,2.7230449268292682,5.2976747481744955
node[1832],15.0,0.0,27270.5,27656.5,625.659,1369.18,385.5,True,56,0,3.4998522478599217,4.659379384156504
node[1833],19.0,0.0,27271.0,27420.0,326.562,881.046,148.5,True,30,0,5.956194402693602,6.315440748047671
node[1834],16.25,0.0,27271.0,27461.0,388.409,1101.53,189.5,True,30,0,5.7831999353562,4.766724716422487
