Module,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_ArrivedAtDest,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_RcvdWarnings,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_SentWarnings
ProvidenciaExampleScenario.node[209].appl,1,34,0
ProvidenciaExampleScenario.node[184].appl,1,36,0
ProvidenciaExampleScenario.node[210].appl,1,0,0
ProvidenciaExampleScenario.node[264].appl,1,0,0
ProvidenciaExampleScenario.node[462].appl,1,0,0
ProvidenciaExampleScenario.node[215].appl,1,24,0
ProvidenciaExampleScenario.node[239].appl,1,32,0
ProvidenciaExampleScenario.node[183].appl,1,0,0
ProvidenciaExampleScenario.node[269].appl,1,0,0
ProvidenciaExampleScenario.node[458].appl,1,0,0
ProvidenciaExampleScenario.node[324].appl,1,27,0
ProvidenciaExampleScenario.node[133].appl,1,40,0
ProvidenciaExampleScenario.node[314].appl,1,28,0
ProvidenciaExampleScenario.node[424].appl,1,0,0
ProvidenciaExampleScenario.node[145].appl,1,40,0
ProvidenciaExampleScenario.node[400].appl,1,24,0
ProvidenciaExampleScenario.node[306].appl,1,0,0
ProvidenciaExampleScenario.node[394].appl,1,24,0
ProvidenciaExampleScenario.node[449].appl,1,21,0
ProvidenciaExampleScenario.node[612].appl,1,2,0
ProvidenciaExampleScenario.node[150].appl,1,12,0
ProvidenciaExampleScenario.node[500].appl,1,0,0
ProvidenciaExampleScenario.node[460].appl,1,20,0
ProvidenciaExampleScenario.node[325].appl,1,8,0
ProvidenciaExampleScenario.node[521].appl,1,0,0
ProvidenciaExampleScenario.node[372].appl,1,12,0
ProvidenciaExampleScenario.node[568].appl,1,8,0
ProvidenciaExampleScenario.node[517].appl,1,0,0
ProvidenciaExampleScenario.node[761].appl,1,2,0
ProvidenciaExampleScenario.node[423].appl,1,15,0
ProvidenciaExampleScenario.node[557].appl,1,0,0
ProvidenciaExampleScenario.node[173].appl,1,31,0
ProvidenciaExampleScenario.node[156].appl,1,34,0
ProvidenciaExampleScenario.node[96].appl,1,31,0
ProvidenciaExampleScenario.node[291].appl,1,31,0
ProvidenciaExampleScenario.node[289].appl,1,23,0
ProvidenciaExampleScenario.node[197].appl,1,19,0
ProvidenciaExampleScenario.node[313].appl,1,23,0
ProvidenciaExampleScenario.node[89].appl,1,22,0
ProvidenciaExampleScenario.node[419].appl,1,24,0
ProvidenciaExampleScenario.node[519].appl,1,17,0
ProvidenciaExampleScenario.node[633].appl,1,0,0
ProvidenciaExampleScenario.node[508].appl,1,0,0
ProvidenciaExampleScenario.node[112].appl,1,0,0
ProvidenciaExampleScenario.node[386].appl,1,0,0
ProvidenciaExampleScenario.node[408].appl,1,0,0
ProvidenciaExampleScenario.node[405].appl,1,17,0
ProvidenciaExampleScenario.node[353].appl,1,0,0
ProvidenciaExampleScenario.node[502].appl,1,1,0
ProvidenciaExampleScenario.node[440].appl,1,9,0
ProvidenciaExampleScenario.node[434].appl,1,0,0
ProvidenciaExampleScenario.node[417].appl,1,0,0
ProvidenciaExampleScenario.node[532].appl,1,17,0
ProvidenciaExampleScenario.node[488].appl,1,20,0
ProvidenciaExampleScenario.node[160].appl,1,7,0
ProvidenciaExampleScenario.node[142].appl,1,27,0
ProvidenciaExampleScenario.node[530].appl,1,18,0
ProvidenciaExampleScenario.node[222].appl,1,11,0
ProvidenciaExampleScenario.node[523].appl,1,19,0
ProvidenciaExampleScenario.node[292].appl,1,9,0
ProvidenciaExampleScenario.node[151].appl,1,26,0
ProvidenciaExampleScenario.node[364].appl,1,2,0
ProvidenciaExampleScenario.node[640].appl,1,12,0
ProvidenciaExampleScenario.node[650].appl,1,0,0
ProvidenciaExampleScenario.node[149].appl,1,0,0
ProvidenciaExampleScenario.node[681].appl,1,0,0
ProvidenciaExampleScenario.node[768].appl,1,4,0
ProvidenciaExampleScenario.node[86].appl,1,28,0
ProvidenciaExampleScenario.node[397].appl,1,1,0
ProvidenciaExampleScenario.node[395].appl,1,16,0
ProvidenciaExampleScenario.node[599].appl,1,5,0
ProvidenciaExampleScenario.node[727].appl,1,7,0
ProvidenciaExampleScenario.node[139].appl,1,11,0
ProvidenciaExampleScenario.node[501].appl,1,2,0
ProvidenciaExampleScenario.node[382].appl,1,18,0
ProvidenciaExampleScenario.node[608].appl,1,5,0
ProvidenciaExampleScenario.node[340].appl,1,19,0
ProvidenciaExampleScenario.node[764].appl,1,5,0
ProvidenciaExampleScenario.node[407].appl,1,1,0
ProvidenciaExampleScenario.node[448].appl,1,8,0
ProvidenciaExampleScenario.node[679].appl,1,4,0
ProvidenciaExampleScenario.node[369].appl,1,18,0
ProvidenciaExampleScenario.node[494].appl,1,11,0
ProvidenciaExampleScenario.node[477].appl,1,0,0
ProvidenciaExampleScenario.node[836].appl,1,1,0
ProvidenciaExampleScenario.node[554].appl,1,8,0
ProvidenciaExampleScenario.node[231].appl,1,9,0
ProvidenciaExampleScenario.node[429].appl,1,0,0
ProvidenciaExampleScenario.node[537].appl,1,11,0
ProvidenciaExampleScenario.node[13].appl,1,37,0
ProvidenciaExampleScenario.node[351].appl,1,6,0
ProvidenciaExampleScenario.node[229].appl,1,26,0
ProvidenciaExampleScenario.node[666].appl,1,0,0
ProvidenciaExampleScenario.node[626].appl,1,9,0
ProvidenciaExampleScenario.node[323].appl,1,33,0
ProvidenciaExampleScenario.node[279].appl,1,25,0
ProvidenciaExampleScenario.node[129].appl,1,27,0
ProvidenciaExampleScenario.node[406].appl,1,29,0
ProvidenciaExampleScenario.node[211].appl,1,30,0
ProvidenciaExampleScenario.node[421].appl,1,21,0
ProvidenciaExampleScenario.node[520].appl,1,18,0
ProvidenciaExampleScenario.node[299].appl,1,28,0
ProvidenciaExampleScenario.node[344].appl,1,25,0
ProvidenciaExampleScenario.node[115].appl,1,18,0
ProvidenciaExampleScenario.node[158].appl,1,24,0
ProvidenciaExampleScenario.node[295].appl,1,30,0
ProvidenciaExampleScenario.node[391].appl,1,26,0
ProvidenciaExampleScenario.node[80].appl,1,18,0
ProvidenciaExampleScenario.node[512].appl,1,3,0
ProvidenciaExampleScenario.node[550].appl,1,16,0
ProvidenciaExampleScenario.node[616].appl,1,17,0
ProvidenciaExampleScenario.node[233].appl,1,17,0
ProvidenciaExampleScenario.node[178].appl,1,23,0
ProvidenciaExampleScenario.node[510].appl,1,3,0
ProvidenciaExampleScenario.node[534].appl,1,3,0
ProvidenciaExampleScenario.node[518].appl,1,2,0
ProvidenciaExampleScenario.node[148].appl,1,18,0
ProvidenciaExampleScenario.node[570].appl,1,3,0
ProvidenciaExampleScenario.node[451].appl,1,24,0
ProvidenciaExampleScenario.node[177].appl,1,23,0
ProvidenciaExampleScenario.node[698].appl,1,0,0
ProvidenciaExampleScenario.node[250].appl,1,18,0
ProvidenciaExampleScenario.node[634].appl,1,3,0
ProvidenciaExampleScenario.node[561].appl,1,3,0
ProvidenciaExampleScenario.node[298].appl,1,23,0
ProvidenciaExampleScenario.node[648].appl,1,4,0
ProvidenciaExampleScenario.node[461].appl,1,27,0
ProvidenciaExampleScenario.node[243].appl,1,18,0
ProvidenciaExampleScenario.node[642].appl,1,16,0
ProvidenciaExampleScenario.node[597].appl,1,3,0
ProvidenciaExampleScenario.node[456].appl,1,22,0
ProvidenciaExampleScenario.node[677].appl,1,3,0
ProvidenciaExampleScenario.node[475].appl,1,26,0
ProvidenciaExampleScenario.node[897].appl,1,2,0
ProvidenciaExampleScenario.node[126].appl,1,17,0
ProvidenciaExampleScenario.node[118].appl,1,18,0
ProvidenciaExampleScenario.node[553].appl,1,2,0
